k,Name,Age,Tm,IP,G,GS,Wgs,Lgs,ND,Wchp,Ltuf,Wtm,Ltm,tmW-L%,Wlst,Lsv,CG,SHO,QS,QS%,GmScA,Best,Wrst,BQR,BQS,sDR,lDR,RS/GS,RS/IP,IP/GS,Pit/GS,<80,80-99,100-119,≥120,Max
272,Carlos Villanueva\villaca01,22,MIL,53.2,10,6,1,2,3,0,0,3,3,.500,0,0,0,0,3,50%,53.5,75,32,3,1,0,2,3.1,2.9,6.1,98,1,2,3,0,107
273,Oscar Villarreal\villaos01,24,ATL,92.1,58,4,1,0,3,1,0,3,1,.750,0,3,0,0,0,0%,50.3,68,34,14,1,0,1,6.4,3.0,4.5,70,3,1,0,0,82
274,Edinson Volquez\volqued01,22,TEX,33.1,8,8,1,6,1,0,0,1,7,.125,0,0,0,0,1,13%,36.8,69,19,7,1,0,5,3.8,4.4,4.2,81,3,4,1,0,104
275,Doug Waechter\waechdo01,25,TBD,53.0,11,10,1,4,5,1,0,2,8,.200,2,2,0,0,2,20%,39.2,57,21,12,6,0,4,4.3,4.2,5.1,82,4,4,2,0,111
276,Tim Wakefield\wakefti01,39,BOS,140.0,23,23,7,11,5,2,4,11,12,.478,3,3,1,0,13,57%,49.1,75,19,10,4,0,13,4.7,3.9,6.1,98,3,10,10,0,116
277,Les Walrond*\walrole01,29,CHC,17.1,10,2,0,1,1,0,0,0,2,.000,0,1,0,0,0,0%,33.0,46,20,8,0,0,1,4.0,5.1,2.8,72,2,0,0,0,76
278,Chien-Ming Wang\wangch01,26,NYY,218.0,34,33,19,6,8,4,1,22,11,.667,0,4,2,1,18,55%,50.5,82,23,24,6,1,10,5.7,5.8,6.6,92,3,22,8,0,109
279,John Wasdin\wasdijo01,33,TEX,30.0,9,5,2,2,1,2,1,3,2,.600,0,0,0,0,1,20%,42.0,48,34,5,2,0,4,6.5,6.3,4.9,93,0,3,2,0,102
280,Jarrod Washburn*\washbja01,31,SEA,187.0,31,31,8,14,9,1,6,15,16,.484,6,3,0,0,16,52%,47.7,71,19,25,7,0,15,4.4,4.1,6.0,99,4,5,21,1,120
281,Jeff Weaver\weaveje01,29,TOT,172.0,31,31,8,14,9,4,4,13,18,.419,5,3,0,0,12,39%,43.2,69,11,26,6,0,13,5.0,5.2,5.5,93,6,9,16,0,113
282,Jered Weaver\weaveje02,23,LAA,123.0,19,19,11,2,6,1,1,14,5,.737,1,2,0,0,14,74%,60.3,81,27,7,1,0,10,4.8,5.2,6.5,102,0,7,12,0,113
283,Brandon Webb\webbbr01,27,ARI,235.0,33,33,16,8,9,2,3,18,15,.545,1,4,5,3,23,70%,57.8,90,21,9,1,0,15,5.2,4.9,7.1,101,1,11,21,0,116
284,David Wells*\wellsda01,43,TOT,75.1,13,13,3,5,5,1,2,6,7,.462,1,3,0,0,6,46%,45.7,66,14,6,3,0,8,4.5,3.5,5.8,85,5,7,1,0,104
285,Kip Wells\wellski01,29,TOT,44.1,9,9,2,5,2,1,0,4,5,.444,0,0,0,0,2,22%,39.1,67,19,12,4,0,4,5.3,6.1,4.9,86,3,4,2,0,108
286,Jake Westbrook\westbja01,28,CLE,211.1,32,32,15,10,7,3,4,15,17,.469,5,2,3,2,18,56%,48.3,78,6,14,11,0,18,5.7,6.1,6.6,102,1,10,20,1,120
287,David Williams*\willida07,27,TOT,69.0,14,13,5,4,4,2,2,9,4,.692,0,4,0,0,6,46%,39.5,72,0,12,5,0,7,6.2,4.9,5.2,87,4,7,2,0,119
288,Jerome Williams\willije01,24,CHC,12.1,5,2,0,2,0,0,1,0,2,.000,0,0,0,0,1,50%,34.5,57,12,1,0,1,1,2.0,0.0,3.7,74,1,1,0,0,94
289,Woody Williams\williwo02,39,SDP,145.1,25,24,12,5,7,5,3,17,7,.708,1,4,0,0,13,54%,50.3,71,25,16,4,0,10,5.6,5.6,6.0,94,3,9,11,1,122
290,Dontrelle Willis*\willido03,24,FLA,223.1,34,34,12,12,10,2,5,15,19,.441,2,2,4,1,20,59%,51.5,92,8,26,3,0,15,3.8,3.7,6.6,106,3,2,23,6,125
291,Kris Wilson\wilsokr01,29,NYY,8.1,5,1,0,0,1,0,0,0,1,.000,0,0,0,0,0,0%,38.0,38,38,2,0,1,0,5.0,15.0,2.7,65,1,0,0,0,65
292,Jason Windsor\windsja01,23,OAK,13.2,4,3,0,1,2,0,0,1,2,.333,0,2,0,0,0,0%,35.7,49,26,2,0,0,3,4.8,4.5,4.2,79,1,2,0,0,86
