k,Name,Age,Tm,IP,G,GS,Wgs,Lgs,ND,Wchp,Ltuf,Wtm,Ltm,tmW-L%,Wlst,Lsv,CG,SHO,QS,QS%,GmScA,Best,Wrst,BQR,BQS,sDR,lDR,RS/GS,RS/IP,IP/GS,Pit/GS,<80,80-99,100-119,≥120,Max
47,Aaron Cook\cookaa01,27,COL,212.2,32,32,9,15,8,2,7,10,22,.313,7,3,0,0,18,56%,48.0,74,20,24,11,0,19,4.0,3.8,6.6,97,0,19,13,0,111
48,Tim Corcoran\corcoti02,28,TBD,90.1,21,16,4,9,3,1,4,5,11,.313,1,1,0,0,7,44%,48.2,76,11,13,3,1,9,4.5,5.1,5.2,88,3,8,5,0,105
49,Lance Cormier\cormila01,25,ATL,73.2,29,9,2,4,3,0,0,3,6,.333,0,1,0,0,4,44%,44.8,68,22,16,8,0,6,3.1,2.6,5.3,84,3,5,1,0,108
50,Francisco Cruceta\crucefr01,24,SEA,6.2,4,1,0,0,1,0,0,1,0,1.000,0,1,0,0,0,0%,23.0,23,23,1,0,0,0,11.0,0.0,1.0,35,1,0,0,0,35
51,Juan Cruz\cruzju02,27,ARI,94.2,31,15,5,6,4,2,2,6,9,.400,1,1,0,0,5,33%,50.5,67,4,5,2,1,8,4.6,3.7,4.9,83,4,7,4,0,110
52,Kyle Davies\davieky01,22,ATL,63.1,14,14,3,7,4,2,1,5,9,.357,2,1,1,0,2,14%,37.0,82,-3,12,6,1,6,6.0,5.5,4.5,88,4,6,4,0,117
53,Doug Davis*\davisdo02,30,MIL,203.1,34,34,11,11,12,3,2,19,15,.559,6,4,1,1,16,47%,48.0,86,5,20,4,0,10,5.5,5.9,6.0,103,2,9,21,2,127
54,Zach Day\dayza01,28,TOT,40.0,8,8,2,5,1,0,0,2,6,.250,0,1,0,0,3,38%,39.0,73,4,5,2,0,5,4.8,4.7,5.0,86,2,3,3,0,105
55,Jorge De La Rosa*\rosajo01,25,TOT,79.0,28,13,3,6,4,2,0,4,9,.308,0,0,0,0,1,8%,42.3,59,20,33,20,0,8,4.3,4.8,4.6,84,4,8,1,0,108
56,Francisco Del Rosario\rosarfr01,25,TOR,23.0,17,1,0,1,0,0,0,0,1,.000,0,0,0,0,0,0%,37.0,37,37,6,3,0,1,1.0,0.0,3.0,71,1,0,0,0,71
57,R.A. Dickey\dicker.01,31,TEX,3.1,1,1,0,1,0,0,0,0,1,.000,0,0,0,0,0,0%,16.0,16,16,0,0,0,1,6.0,0.0,3.3,61,1,0,0,0,61
58,Lenny DiNardo*\dinarle01,26,BOS,39.0,13,6,1,2,3,1,0,4,2,.667,0,2,0,0,0,0%,34.3,57,11,11,6,0,4,6.5,3.8,3.9,73,4,2,0,0,94
59,Scott Downs*\downssc01,30,TOR,77.0,59,5,1,1,3,1,0,3,2,.600,1,1,0,0,0,0%,36.0,59,12,23,10,0,4,6.8,6.6,3.1,59,5,0,0,0,75
60,Ryan Drese\dresery01,30,WSN,8.2,2,2,0,2,0,0,0,0,2,.000,0,0,0,0,0,0%,39.5,41,38,2,0,0,1,3.0,3.0,4.3,80,1,1,0,0,81
61,Brandon Duckworth\duckwbr01,30,KCR,45.2,10,8,1,4,3,1,1,4,4,.500,1,1,0,0,2,25%,42.6,62,25,11,3,0,4,4.1,4.2,5.3,97,0,5,3,0,106
62,Zach Duke*\dukeza01,23,PIT,215.1,34,34,10,15,9,3,5,12,22,.353,5,4,2,1,18,53%,46.8,78,14,14,6,0,13,4.2,4.1,6.3,96,3,15,15,1,127
63,Adam Eaton\eatonad01,28,TEX,65.0,13,13,7,4,2,4,0,8,5,.615,0,2,0,0,4,31%,45.4,64,28,11,1,1,5,6.6,7.1,5.0,87,3,7,3,0,108
64,Scott Elarton\elartsc01,30,KCR,114.2,20,20,4,9,7,2,2,6,14,.300,5,1,0,0,6,30%,44.6,71,21,22,10,0,8,4.4,4.2,5.7,95,3,9,8,0,110
65,Kelvim Escobar\escobke01,30,LAA,189.1,30,30,11,14,5,1,6,13,17,.433,1,3,1,0,20,67%,52.6,81,13,11,7,0,17,3.8,3.6,6.3,97,3,12,15,0,115
66,Shawn Estes*\estessh01,33,SDP,6.0,1,1,0,1,0,0,1,0,1,.000,0,0,0,0,1,100%,51.0,51,51,0,0,0,1,1.0,0.0,6.0,81,0,1,0,0,81
67,Seth Etherton\etherse01,29,KCR,7.2,2,2,1,1,0,1,0,1,1,.500,0,0,0,0,0,0%,34.5,49,20,1,0,0,1,3.5,3.4,3.8,88,1,0,1,0,100
68,Dana Eveland*\evelada01,22,MIL,27.2,9,5,0,3,2,0,0,1,4,.200,0,2,0,0,0,0%,36.4,42,32,9,3,0,1,4.5,3.3,4.9,97,0,3,2,0,104
69,Jeff Fassero*\fasseje01,43,SFG,15.0,10,1,0,0,1,0,0,1,0,1.000,0,0,0,0,0,0%,32.0,32,32,5,1,1,0,10.0,12.6,4.0,72,1,0,0,0,72
70,Ryan Feierabend*\feierry01,20,SEA,17.0,4,2,0,1,1,0,0,0,2,.000,1,0,0,0,0,0%,42.0,47,37,0,0,0,1,6.0,3.3,5.5,99,0,1,1,0,101
71,Gavin Floyd\floydga01,23,PHI,54.1,11,11,4,3,4,1,0,5,6,.455,2,2,1,1,3,27%,37.5,61,19,14,7,1,7,5.5,5.8,4.9,90,2,7,2,0,103
72,Josh Fogg\foggjo01,29,COL,172.0,31,31,11,9,11,4,2,16,15,.516,5,2,1,1,14,45%,43.2,83,10,26,7,0,18,5.3,6.0,5.5,89,4,23,4,0,106
73,Casey Fossum*\fossuca01,28,TBD,130.0,25,25,6,6,13,2,1,14,11,.560,4,5,0,0,10,40%,45.1,73,12,18,10,0,10,6.1,5.2,5.2,87,4,13,8,0,111
74,Jeff Francis*\francje01,25,COL,199.0,32,32,13,11,8,4,2,20,12,.625,6,1,1,1,15,47%,50.4,91,20,26,11,0,18,5.5,5.3,6.2,99,2,17,12,1,129
75,Aaron Fultz*\fultzaa01,32,PHI,71.1,66,1,0,0,1,0,0,1,0,1.000,0,1,0,0,0,0%,35.0,35,35,14,1,1,0,11.0,9.0,1.7,41,1,0,0,0,41
76,Kason Gabbard*\gabbaka01,24,BOS,25.2,7,4,1,2,1,0,0,2,2,.500,0,0,0,0,1,25%,48.5,75,24,10,5,1,3,2.3,1.2,5.1,88,0,4,0,0,99
77,Freddy Garcia\garcifr03,29,CHW,216.1,33,33,17,9,7,5,0,22,11,.667,2,4,1,0,18,55%,49.6,83,16,15,9,0,17,5.9,5.5,6.6,100,1,13,19,0,118
78,Jon Garland\garlajo01,26,CHW,211.1,33,32,18,7,7,5,0,21,11,.656,2,6,1,1,17,53%,48.1,76,6,24,11,0,14,5.7,5.6,6.6,104,0,8,23,1,124
79,Matt Garza\garzama01,22,MIN,50.0,10,9,3,5,1,2,1,4,5,.444,0,1,0,0,2,22%,41.9,67,14,10,1,0,6,3.7,3.8,4.9,89,2,6,1,0,102
80,Justin Germano\germaju01,23,CIN,6.2,2,1,0,1,0,0,0,0,1,.000,0,0,0,0,0,0%,43.0,43,43,2,0,0,1,3.0,4.5,5.7,96,0,1,0,0,96
81,Tom Glavine*\glavito02,40,NYM,198.0,32,32,15,7,10,2,4,24,8,.750,3,3,0,0,22,69%,51.2,80,18,21,10,1,16,5.5,5.3,6.2,102,1,8,22,1,123
82,Jimmy Gobble*\gobblji01,24,KCR,84.0,60,6,1,3,2,1,0,2,4,.333,0,1,0,0,0,0%,42.5,55,26,26,10,2,2,4.5,2.7,4.4,79,3,3,0,0,95
83,Edgar Gonzalez\gonzaed01,23,ARI,42.2,11,5,2,3,0,0,2,2,3,.400,0,0,0,0,4,80%,56.4,64,44,6,1,1,3,3.8,3.7,6.6,94,0,4,1,0,103
84,Enrique Gonzalez\gonzaen01,23,ARI,106.1,22,18,3,7,8,0,1,6,12,.333,4,2,0,0,7,39%,44.3,77,17,3,1,1,11,4.6,5.1,5.6,91,3,10,5,0,110
85,Geremi Gonzalez\gonzaje01,31,TOT,56.0,24,4,1,0,3,1,0,3,1,.750,1,0,0,0,1,25%,42.1,58,17,8,2,0,3,6.1,7.4,4.8,85,2,1,1,0,100
86,Tom Gorzelanny*\gorzeto01,23,PIT,61.2,11,11,2,5,4,0,2,4,7,.364,2,1,0,0,6,55%,52.0,83,23,3,2,0,8,3.9,2.7,5.6,92,3,4,4,0,112
87,Kevin Gregg\greggke01,28,LAA,78.1,32,3,1,1,1,0,0,1,2,.333,0,0,0,0,1,33%,43.0,70,11,11,4,0,2,4.0,6.8,5.2,88,1,1,1,0,109
88,Matt Guerrier\guerrma02,27,MIN,69.2,39,1,0,0,1,0,0,1,0,1.000,0,1,0,0,0,0%,45.0,45,45,8,4,0,0,7.9,4.5,4.0,68,1,0,0,0,68
89,Jeremy Guthrie\guthrje01,27,CLE,19.1,9,1,0,0,1,0,0,1,0,1.000,0,0,0,0,0,0%,37.0,37,37,3,1,0,1,6.8,9.0,4.7,103,0,0,1,0,103
